id;why;jhi_when;is_created_by_apsee
1;../fake-data/blob/hipster.txt;2019-10-03;false
2;../fake-data/blob/hipster.txt;2019-10-02;true
3;../fake-data/blob/hipster.txt;2019-10-02;false
4;../fake-data/blob/hipster.txt;2019-10-02;true
5;../fake-data/blob/hipster.txt;2019-10-02;false
6;../fake-data/blob/hipster.txt;2019-10-02;true
7;../fake-data/blob/hipster.txt;2019-10-03;false
8;../fake-data/blob/hipster.txt;2019-10-03;true
9;../fake-data/blob/hipster.txt;2019-10-03;false
10;../fake-data/blob/hipster.txt;2019-10-03;true
