id;value;unit;period_begin;period_end
1;89014;feed;2019-09-18;2019-09-17
2;14730;Health deposit Canyon;2019-09-18;2019-09-17
3;95793;Saint Martin;2019-09-17;2019-09-17
4;50060;Codes specifically reserved for testing purposes Generic upward-trending;2019-09-17;2019-09-17
5;45966;China vortals;2019-09-18;2019-09-17
6;16574;Manors cyan Handcrafted Fresh Keyboard;2019-09-17;2019-09-17
7;79314;AI Profound;2019-09-17;2019-09-18
8;19692;Optimization Administrator;2019-09-17;2019-09-17
9;98114;Hawaii high-level;2019-09-17;2019-09-17
10;59356;Intelligent Rubber Chair;2019-09-17;2019-09-18
